id,start_time,end_time,awake,deep,light,stages,deleted,manually
38,1517265060,1517288580,0,188,204,30L25D3L14D15L11D2L19D9L25D2L28D67L10D12L14D17L11D37L31D10L,0,0
39,1517354460,1517381820,0,197,259,14L19D2L19D20L32D2L16D35L10D2L59D25L12D11L17D63L13D85L,0,0
40,1517440500,1517466360,0,180,251,47L41D11L12D14L35D2L37D8L15D75L27D94L13D,0,0
41,1517527380,1517555100,0,279,183,16L24D2L58D2L18D2L16D19L10D20L82D6L16D33L12D24L23D45L20D14L,0,0
42,1517617980,1517644200,0,196,241,10L68D2L22D3L15D10L10D7L10D34L10D2L33D92L14D24L14D57L,0,0
43,1517693640,1517728860,0,306,281,45L30D11L14D16L20D2L40D2L18D2L30D7L33D2L21D8L69D62L21D46L10D78L,0,0
44,1517777220,1517812200,1,343,239,52L11D14L11D10L50D7L24D2L19D2L19D7L109D25L28D17L16D22L12D8L22D3L10D9L12D13L1A48L,0,0
45,1517866140,1517895660,0,298,194,34L29D19L38D4L10D13L12D3L28D11L28D31L26D2L26D2L72D7L29D68L,0,0
46,1517957340,1517983080,0,233,196,10L18D2L80D63L62D47L10D5L27D7L12D20L12D20L12D22L,0,0
47,1518042540,1518071520,0,215,268,23L17D11L21D11L36D4L12D13L22D8L19D33L28D7L31D77L12D7L17D74L,0,0
48,1518131040,1518152580,0,201,158,10L21D7L16D10L43D2L35D13L14D2L13D50L13D12L20D52L26D,0,0
49,1518214440,1518245040,1,288,221,10L61D2L19D2L40D1A7L53D2L14D2L28D13L46D6L12D106L15D71L,0,0
50,1518295680,1518330420,1,282,296,53L14D17L16D2L19D2L50D44L50D8L24D14L20D33L22D7L29D39L14D45L12D14L1A17L12D1L,0,0
51,1518387540,1518417000,0,213,278,29L37D9L16D13L18D4L12D7L23D21L27D7L23D49L14D4L32D96L11D39L,0,0
52,1518478740,1518501660,0,129,253,24L39D3L30D24L30D53L16D71L14D78L,0,0
53,1518558660,1518589080,22,204,280,47L22A12L35D28L25D3L20D10L18D9L54D63L10D41L10D15L22D16L10D36L,0,0
54,1518644220,1518676020,1,211,318,54L42D2L10D1A9L48D8L22D14L13D4L27D32L17D13L32D182L,0,0
55,1518730920,1518759900,0,257,226,33L42D3L17D20L38D6L10D10L21D5L14D18L19D23L16D10L28D9L21D39L16D7L15D43L,0,0
56,1518815220,1518847140,0,285,247,12L13D4L26D7L10D5L26D2L43D9L46D20L10D16L19D16L69D81L10D6L13D69L,0,0
57,1518901920,1518931140,0,251,236,33L17D10L11D11L15D2L42D15L25D26L10D2L10D34L12D16L28D11L52D36L10D5L19D35L,0,0
58,1518989040,1519019700,0,251,260,10L10D19L32D4L45D6L32D11L32D50L11D10L11D31L10D11L11D8L11D29L12D7L12D17L11D36L11D11L,0,0
59,1519078740,1519105680,0,265,184,10L50D9L74D6L44D26L40D19L47D42L10D72L,0,0
60,1519162380,1519190820,1,234,239,18L11D17L27D2L24D5L1A6L14D4L13D2L11D12L13D14L40D13L10D16L12D17L11D9L36D76L12D28L,0,0
61,1519248540,1519279200,0,302,209,18L15D8L15D2L28D26L16D7L79D5L14D4L31D23L22D9L38D71L32D12L12D24L,0,0
62,1519331040,1519365840,0,249,331,40L30D2L11D19L50D33L14D18L25D71L48D25L13D20L12D12L10D43L13D4L12D21L11D23L,0,0
63,1519423140,1519456320,0,338,215,19L36D8L51D12L30D37L11D6L32D4L23D2L53D39L33D34L14D25L20D8L18D11L17D10L,0,0
64,1519510020,1519540560,0,324,185,14L69D3L46D5L10D2L23D7L10D2L13D14L97D4L26D60L13D3L17D71L,0,0
65,1519597740,1519625100,0,279,177,11L14D9L18D2L14D2L50D12L17D3L43D2L24D26L14D10L43D45L42D55L,0,0
66,1519676520,1519711320,0,163,417,32L25D71L21D8L19D5L17D23L18D49L10D8L11D8L32D124L10D89L,0,0
67,1519769220,1519797600,0,202,271,33L13D12L30D7L25D5L33D60L33D32L14D6L17D8L26D95L11D13L,0,0
68,1519857600,1519883040,1,200,223,13L15D2L24D25L22D2L45D7L13D6L21D10L15D2L22D69L23D75L1A12L,0,0
69,1519938600,1519971060,0,239,302,12L29D12L29D11L42D26L11D2L14D8L18D51L63D2L12D73L11D24L10D81L,0,0
70,1520027400,1520056560,0,234,252,15L31D2L75D2L23D6L16D27L27D35L15D6L12D18L13D29L10D110L12D2L,0,0
71,1520115360,1520147040,0,246,282,10L53D31L79D19L19D69L23D62L28D56L28D2L16D33L,0,0
72,1520199480,1520229780,0,276,229,33L46D2L30D7L54D2L37D2L32D64L14D12L12D31L10D2L28D51L13D23L,0,0
73,1520286360,1520316180,14,262,220,17L22D14L11D11L54D12L43D6L10D2L12D14A10L10D2L32D16L10D33L38D52L10D17L10D28L,0,0
74,1520372880,1520402880,1,132,367,31L26D53L23D52L16D27L10D34L40D94L17D16L1A60L,0,0
75,1520460240,1520488380,0,185,284,22L31D38L59D17L11D3L11D23L13D46L21D44L10D19L29D72L,0,0
76,1520549160,1520575500,0,238,201,10L18D2L18D6L26D3L10D2L32D5L35D26L17D59L37D16L11D56L10D8L24D8L,0,0
77,1520637840,1520661480,1,207,186,10L32D42L71D8L23D4L1A11L12D13L13D6L42D90L14D2L,0,0
78,1520721900,1520746320,0,180,227,10L28D22L42D4L12D34L12D9L44D65L15D2L27D81L,0,0
79,1520810040,1520833200,0,232,154,24L61D2L28D12L44D8L35D19L20D12L11D23L19D21L14D33L,0,0
80,1520888280,1520918040,0,302,194,17L40D8L23D16L52D3L20D10L12D3L23D2L16D2L16D21L12D27L29D28L21D13L28D24L10D20L,0,0
81,1520976300,1521002820,0,249,193,38L41D25L13D2L61D4L17D6L15D11L12D10L14D35L19D2L18D52L30D8L9D,0,0
82,1521064680,1521092040,1,284,171,24L62D11L10D10L65D7L43D22L26D7L26D1A8L13D10L14D28L13D6L12D38L,0,0
83,1521155220,1521183240,0,325,142,14L61D13L48D14L26D3L57D2L38D21L16D22L17D2L15D13L15D7L10D3L11D25L11D3L,0,0
84,1521221640,1521225900,0,0,71,71L,0,0
85,1521257760,1521282300,0,244,165,10L83D8L32D13L19D12L13D6L13D14L10D2L25D24L15D35L34D41L,0,0
86,1521332640,1521363480,0,338,176,10L33D11L76D6L79D2L67D50L42D61L10D2L20D27L11D7L,0,0
87,1521416880,1521444180,0,275,180,12L64D2L23D13L61D31L51D33L36D8L13D67L27D14L,0,0
88,1521498840,1521530280,0,243,281,29L25D2L15D7L44D6L12D2L15D2L11D25L25D8L26D14L10D22L23D62L12D20L14D45L11D37L,0,0
89,1521584280,1521616200,0,221,311,30L14D3L26D18L14D6L28D16L22D24L13D6L14D5L25D7L14D33L17D77L10D9L12D8L12D69L,0,0
90,1521671940,1521703620,0,308,220,12L11D20L63D5L18D2L45D2L18D10L50D27L42D61L12D30L15D18L12D13L22D20L,0,0
91,1521762180,1521789300,0,267,185,18L54D5L38D12L27D6L11D2L72D59L31D13L10D12L14D29L10D29L,0,0
92,1521852720,1521881160,0,216,258,11L48D20L21D7L13D3L14D25L28D32L11D10L29D42L11D61L14D21L27D26L,0,0
93,1521930660,1521948600,0,208,91,32L11D9L14D3L55D8L41D6L26D5L17D12L13D16L31D,0,0
94,1522009920,1522044600,0,338,240,19L11D17L79D2L23D10L11D10L41D9L47D2L14D19L20D27L45D25L11D35L10D2L13D47L13D16L,0,0
95,1522072200,1522075500,0,11,44,10L11D34L,0,0
